"","index","date","player","old_club","new_club","fee"
"1981",1676,2020-10-05,"Ðorde Jovanovic","Cádiz","Unattached","Released-other"
"1982",1677,2020-10-05,"Gaspar Panadero","Cádiz","Ponferradina","Loan-other"
"1983",1678,2020-10-05,"David Querol","Cádiz","Unattached","Released-other"
"1984",1679,2020-10-05,"Edu Ramos","Cádiz","Marbella","Transfer-other"
"1985",1680,2020-10-05,"Jean-Pierre Rhyner","Cádiz","Cartagena","Loan-other"
"1986",1699,2020-10-05,"Álvaro Vadillo","Celta Vigo","Espanyol","Loan-other"
"1987",1708,2020-10-05,"Bryan Gil","Sevilla","Eibar","Loan-other"
"1988",1709,2020-10-05,"Alejandro Pozo","Sevilla","Eibar","Loan-other"
"1989",1719,2020-10-05,"Álvaro Tejero","Eibar","Zaragoza","Loan-other"
"1990",1729,2020-10-05,"Guido Carrillo"," Southampton","Elche","Transfer-other"
"1991",1730,2020-10-05,"Iván Marcone"," Boca Juniors","Elche","Loan-other"
"1992",1731,2020-10-05,"Emiliano Rigoni"," Zenit Saint Petersburg","Elche","Transfer-other"
"1993",1732,2020-10-05,"Diego Rodríguez"," Defensa y Justicia","Elche","Loan-other"
"1994",1743,2020-10-05,"Ramón Folch","Elche","Tenerife","Loan-other"
"1995",1754,2020-10-05,"Abdoulay Diaby"," Sporting CP","Getafe","Loan-other"
"1996",1755,2020-10-05,"Víctor Mollejo","Atlético Madrid","Getafe","Loan-other"
"1997",1771,2020-10-05,"Jack Harper","Getafe","Cartagena","Loan-other"
"1998",1772,2020-10-05,"Amath Ndiaye","Getafe","Mallorca","Loan-other"
"1999",1783,2020-10-05,"Nehuén Pérez","Atlético Madrid","Granada","Loan-other"
"2000",1793,2020-10-05,"Ismail Köybasi","Granada"," Çaykur Rizespor","Transfer-other"
"2001",1807,2020-10-05,"Sandro Ramírez"," Everton","Huesca","Transfer-other"
"2002",1819,2020-10-05,"Joaquín Muñoz","Huesca","Málaga","Loan-other"
"2003",1842,2020-10-05,"Arturo Molina","Levante","Castellón","Loan-other"
"2004",1855,2020-10-05,"Ante Budimir","Mallorca","Osasuna","Loan-other"
"2005",1865,2020-10-05,"Marc Cardona","Osasuna","Mallorca","Loan-other"
"2006",1878,2020-10-05,"Juan Miranda","Barcelona","Real Betis","Loan-other"
"2007",1890,2020-10-05,"Wilfrid Kaptoum","Real Betis","Unattached","Released-other"
"2008",1915,2020-10-05,"Luca Zidane","Real Madrid","Rayo Vallecano","Transfer-other"
"2009",1947,2020-10-05,"Oussama Idrissi"," AZ Alkmaar","Sevilla","Transfer-€12M"
"2010",1948,2020-10-05,"Karim Rekik"," Hertha BSC","Sevilla","Transfer-€2M"
"2011",1959,2020-10-05,"Ibrahim Amadou","Sevilla"," Angers","Loan-other"
"2012",1960,2020-10-05,"Sébastien Corchia","Sevilla"," Nantes","Transfer-other"
"2013",1961,2020-10-05,"Bryan Gil","Sevilla","Eibar","Loan-other"
"2014",1962,2020-10-05,"Roque Mesa","Sevilla","Valladolid","Transfer-other"
"2015",1963,2020-10-05,"Alejandro Pozo","Sevilla","Eibar","Loan-other"
"2016",1996,2020-10-05,"Jota"," Benfica","Valladolid","Loan-other"
"2017",1997,2020-10-05,"Roque Mesa","Sevilla","Valladolid","Transfer-other"
"2018",2014,2020-10-05,"Javi Moyano","Valladolid","Unattached","Released-other"
"2019",567,2020-10-06,"Michal Karbownik","Legia Warsaw","Brighton & Hove Albion","Undisclosed"
"2020",568,2020-10-06,"Jakub Moder","Lech Poznan","Brighton & Hove Albion","Undisclosed"
"2021",569,2020-10-06,"Antonis Stergiakis","Slavia Sofia","Blackburn Rovers","Undisclosed"
"2022",807,2020-10-06,"Jack Aitchison","Barnsley","Stevenage","loan"
"2023",808,2020-10-06,"Olatunji Akinola","West Ham United","Leyton Orient","loan"
"2024",809,2020-10-06,"Felipe Anderson","West Ham United","Porto","loan"
"2025",810,2020-10-06,"Tudor Baluta","Brighton & Hove Albion","Dynamo Kyiv","loan"
"2026",811,2020-10-06,"Juan Castillo","Chelsea","AZ","loan"
"2027",812,2020-10-06,"Halil Dervisoglu","Brentford","FC Twente","loan"
"2028",813,2020-10-06,"Marko Grujic","Liverpool","Porto","loan"
"2029",814,2020-10-06,"Michal Karbownik","Brighton & Hove Albion","Legia Warsaw","loan"
"2030",815,2020-10-06,"Ruben Loftus-Cheek","Chelsea","Fulham","loan"
"2031",816,2020-10-06,"Bruno Martins Indi","Stoke City","AZ","loan"
"2032",817,2020-10-06,"Jakub Moder","Brighton & Hove Albion","Lech Poznan","loan"
"2033",818,2020-10-06,"Malang Sarr","Chelsea","Porto","loan"
"2034",819,2020-10-06,"Marco van Ginkel","Chelsea","PSV","loan"
"2035",1539,2020-10-06,"Musa Juwara","Bologna","Boavista","Loan"
"2036",1540,2020-10-06,"Armando Anastasio","Monza","Rijeka","Loan"
"2037",1541,2020-10-06,"Jorge Silva","Lazio","Boavista","Loan"
"2038",1542,2020-10-06,"Yves Baraye","Parma","Gil Vicente","Undisclosed"
"2039",1543,2020-10-07,"M'Bala Nzola","Trapani","Spezia","Free"
"2040",1544,2020-10-07,"Emmanuel Besea","Frosinone","Viterbese","Free"
"2041",1820,2020-10-07,"Jonathan Toro","Huesca"," Chaves","Transfer-other"
"2042",2015,2020-10-07,"Hatem Ben Arfa","Valladolid"," Bordeaux","Transfer-other"
"2043",1733,2020-10-09,"Diego González","Málaga","Elche","Transfer-other"
"2044",1843,2020-10-13,"Hernâni","Levante"," Al Wehda","Loan-other"
"2045",1891,2020-10-19,"Francis Guerrero","Real Betis","Unattached","Released-other"
"2046",1601,2020-11-03,"Geoffrey Kondogbia","Valencia","Atlético Madrid","Transfer-€15M"
"2047",1981,2020-11-03,"Geoffrey Kondogbia","Valencia","Atlético Madrid","Transfer-€15M"
"2048",1590,2020-11-13,"Beñat","Athletic Bilbao"," Macarthur FC","Transfer-other"
